jtool2 -k /private/preboot/5B9292BD97BF2C2D35B301AAEC8F324899ABAEA67E1696579A7DB4E4C5D80EF00CB6F44278922789D2D06307CFC81EA4/System/Library/Caches/com.apple.kernelcaches/kernelcache
0xfffffff008a4dd38: com.apple.driver.AppleM2ScalerCSC (1.0.0a1)
0xfffffff008aa4128: com.apple.driver.usb.networking (5.0.0)
0xfffffff008aa5a50: com.apple.driver.usb.AppleUSBHostCompositeDevice (0.0.0)
0xfffffff008aa87a0: com.apple.driver.usb.cdc (5.0.0)
0xfffffff008aaa748: com.apple.driver.usb.cdc.ncm (5.0.0)
0xfffffff008ab2c30: com.apple.driver.AppleH11ANEInterface (5.33.0)
0xfffffff008aff610: com.apple.iokit.IOUSBDeviceFamily (2.0.0)
0xfffffff008b29280: com.apple.driver.AppleUSBEthernetDevice (7.0)
0xfffffff008b2ca70: com.apple.iokit.IO80211Family (3.0)
0xfffffff008ca6f28: com.apple.plugin.IOgPTPPlugin (1000.11)
0xfffffff008d01868: com.apple.driver.AppleT8030CLPC (1.0.0d1)
0xfffffff008d2ed88: com.apple.driver.AppleOrion (1.0.0)
0xfffffff008d3f830: com.apple.ApplePMGR (1.0.0d1)
0xfffffff008d50488: com.apple.driver.AppleSEPManager (1.0.0d1)
0xfffffff008d83ef0: com.apple.driver.AppleSSE (1.0.0)
0xfffffff008d8a1c8: com.apple.ASIOKit (1.0.0d1)
0xfffffff008db9a20: com.apple.driver.AppleConvergedIPC (1.0.0d1)
0xfffffff008df34a8: com.apple.AppleS8000DWI (1.0.0)
0xfffffff008df4810: com.apple.driver.AppleTypeCPhy (1.0)
0xfffffff008dff738: com.apple.driver.AppleT8027TypeCPhy (1.0)
0xfffffff008e06e88: com.apple.driver.AppleT8030TypeCPhy (1.0)
0xfffffff008e070f8: com.apple.AppleHapticsSupportLEAP (6.16)
0xfffffff008e2c318: com.apple.driver.AppleT8030PCIe (1.0.0)
0xfffffff008e31680: com.apple.driver.AppleC26Charger (1.0.0)
0xfffffff008e42f80: com.apple.driver.AppleAuthCP (1.0.0)
0xfffffff008e536b8: com.apple.driver.AppleSmartBatteryManagerEmbedded (1.0.0d1)
0xfffffff008e69560: com.apple.iokit.IOHDCPFamily (1.0.0)
0xfffffff008e75678: com.apple.IOCECFamily (1.0.0)
0xfffffff008e774b0: com.apple.iokit.IOAVFamily (1.0.0d1)
0xfffffff008edfe20: com.apple.iokit.IOUserEthernet (1.0.1)
0xfffffff008ee3490: com.apple.driver.AppleUSBAudio (412.8)
0xfffffff008f50700: com.apple.driver.DiskImages.UDIFDiskImage (621)
0xfffffff008f5df38: com.apple.AppleLMBacklight (1.0.0d1)
0xfffffff008f5ffc8: com.apple.iokit.IOSCSIArchitectureModelFamily (1.0)
0xfffffff008f75140: com.apple.iokit.IOSCSIBlockCommandsDevice (1.0)
0xfffffff008f805c0: com.apple.iokit.IOUSBMassStorageDriver (1.0.0)
0xfffffff008f98f28: com.apple.driver.AppleUSBCardReader (1.0.0d1)
0xfffffff008fa2eb8: com.apple.driver.usb.IOUSBHostHIDDevice (0.0.0)
0xfffffff008face90: com.apple.driver.ApplePinotLCD (1.0.0)
0xfffffff008fb4e80: com.apple.driver.AppleEmbeddedGPS (1.0.0d1)
0xfffffff008fb7cf0: com.apple.driver.AppleSerialShim (1.0.0d1)
0xfffffff008fb8830: com.apple.driver.AppleSMCWirelessCharger (1.0.0)
0xfffffff008fc4990: com.apple.nke.ppp (1.5)
0xfffffff008fcbad8: com.apple.nke.lttp (1.5)
0xfffffff008fcfc90: com.apple.driver.AppleSynopsysOTGDevice (1.0)
0xfffffff008ff3bc0: com.apple.driver.AppleFirmwareKit (1.0.0d1)
0xfffffff00900d7d8: com.apple.driver.AppleAOPAudio (100.1)
0xfffffff00903d1a0: com.apple.driver.AppleAOPHaptics (500.86)
0xfffffff00903fa90: com.apple.drivers.AppleSPURose (1.0.0d1)
0xfffffff0090493e8: com.apple.driver.AppleUSBTopCaseDriver (5000.13)
0xfffffff0090498a8: com.apple.AUC (1.0.0d1)
0xfffffff00904d240: com.apple.driver.AppleALSColorSensor (1.0.0d1)
