0xfffffff008986848: com.apple.driver.usb.IOUSBHostHIDDevice (0.0.0)
0xfffffff008991210: com.apple.driver.usb.AppleUSBHostT8030 (1.0.0d1)
0xfffffff00899f0d8: com.apple.driver.usb.networking (5.0.0)
0xfffffff0089a0b38: com.apple.driver.usb.cdc (5.0.0)
0xfffffff0089a2d68: com.apple.driver.usb.cdc.ncm (5.0.0)
0xfffffff0089ab950: com.apple.driver.AppleH11ANEInterface (4.75.0)
0xfffffff0089f2348: com.apple.iokit.IOUSBDeviceFamily (2.0.0)
0xfffffff008a1ea68: com.apple.driver.AppleUSBEthernetDevice (7.0)
0xfffffff008a22540: com.apple.iokit.IO80211Family (3.0)
0xfffffff008b55320: com.apple.plugin.IOgPTPPlugin (900.11)
0xfffffff008bb2838: com.apple.driver.AppleT8030CLPC (1.0.0d1)
0xfffffff008bdcd68: com.apple.driver.AppleOrion (1.0.0)
0xfffffff008beef88: com.apple.ApplePMGR (1.0.0d1)
0xfffffff008bff0b0: com.apple.driver.AppleSEPManager (1.0.0d1)
0xfffffff008c306f8: com.apple.driver.AppleSSE (1.0.0)
0xfffffff008c36da0: com.apple.ASIOKit (1.0.0d1)
0xfffffff008c6f2d0: com.apple.driver.AppleConvergedIPC (1.0.0d1)
0xfffffff008cab7c8: com.apple.AppleS8000DWI (1.0.0)
0xfffffff008cacb08: com.apple.driver.AppleT8027TypeCPhy (1.0)
0xfffffff008cb46e0: com.apple.driver.AppleT8030TypeCPhy (1.0)
0xfffffff008cb4920: com.apple.AppleHapticsSupportLEAP (5.25)
0xfffffff008ccda80: com.apple.driver.AppleT8030PCIe (1.0.0)
0xfffffff008cd2d58: com.apple.driver.AppleC26Charger (1.0.0)
0xfffffff008ce4d58: com.apple.driver.AppleAuthCP (1.0.0)
0xfffffff008cf4768: com.apple.driver.AppleSmartBatteryManagerEmbedded (1.0.0d1)
0xfffffff008d0b300: com.apple.iokit.IOHDCPFamily (1.0.0)
0xfffffff008d16fa8: com.apple.IOCECFamily (1.0.0)
0xfffffff008d19010: com.apple.iokit.IOAVFamily (1.0.0d1)
0xfffffff008d83840: com.apple.iokit.IOUserEthernet (1.0.1)
0xfffffff008d86e90: com.apple.driver.AppleUSBADC2AudioController (405.39)
0xfffffff008d921b8: com.apple.driver.AppleUSBDeviceAudioController (405.39)
0xfffffff008d94a60: com.apple.driver.AppleUSBAudio (405.39)
0xfffffff008e04d00: com.apple.driver.DiskImages.UDIFDiskImage (595.140.1)
0xfffffff008e12458: com.apple.AppleLMBacklight (1.0.0d1)
0xfffffff008e14558: com.apple.iokit.IOSCSIArchitectureModelFamily (1.0)
0xfffffff008e2ab80: com.apple.iokit.IOSCSIBlockCommandsDevice (1.0)
0xfffffff008e36b20: com.apple.iokit.IOUSBMassStorageDriver (1.0.0)
0xfffffff008e50730: com.apple.driver.AppleUSBCardReader (1.0.0d1)
0xfffffff008e5b220: com.apple.driver.ApplePinotLCD (1.0.0)
