# zprint
                            elem         cur         max        cur         max         cur  alloc  alloc
zone name                   size        size        size      #elts       #elts       inuse   size  count
-------------------------------------------------------------------------------------------------------------
skywalk.nx.fsw              1248         16K         16K         13          13           5    16K     13  C
skywalk.nx.kern.attr         160         16K         16K        102         102           8    16K    102  C
skywalk.nx.kern.dom.prov     224         16K         16K         73          73           5    16K     73  C
skywalk.nx.kern.ctl.desc       8         16K         16K       2048        2048          14    16K   2048  C
skywalk.na.pseudo            968          0K          0K          0           0           0    32K     33  C
personas                     336         32K         32K         97          97           3    32K     97  C
ubc_info.zone                104        624K        832K       6144        8192        5456    16K    157  C
cs_blob.zone                 216        128K        128K        606         606         550    32K    151  C
pgrp                          56         32K         32K        585         585         308    16K    292  C
specinfo                      72         16K         16K        227         227          26    16K    227  C
vnodes                       256       2512K       2512K      10048       10048       10000    16K     64
session                      336        128K        128K        390         390         306    32K     97  C
skywalk.nx                   240         16K         16K         68          68          22    16K     68  C
skywalk.nx.kern.prov.par$    192         16K         16K         85          85          27    16K     85  C
skywalk.nx.kern.prov        2000         64K         64K         32          32          27    16K      8  C
NFS.bio                      328          0K          0K          0           0           0    32K     99  C
skywalk.nx.bind               48         16K         16K        341         341           3    16K    341  C
skywalk.nx.ctl                88         16K         16K        186         186          19    16K    186  C
device.node.pager.struct$     64         32K         32K        512         512         289    16K    256  C
ipc_service_port_label        24         48K         48K       2048        2048        1733    16K    682  C
AMX.save.state              5248         16K         32K          3           6           0    16K      3  C
user.save.state              848       1360K       1392K       1642        1680         861    16K     19  C
arm.debug.state              528          0K          0K          0           0           0    16K     31  C
in_msource                    32          0K          0K          0           0           0    16K    512  C
ip_msource                    40          0K          0K          0           0           0    16K    409  C
ipc.spaces                   128         48K         48K        384         384         314    16K    128  C
fileproc_guard                16         16K         16K       1024        1024         871    16K   1024  C
net_port_entry               168          0K          0K          0           0           0    16K     97  C
llinfo_arp                   120         16K         16K        136         136          11    16K    136  C
vnode.pager.structures        32        192K        256K       6144        8192        5456    16K    512  C
net.if_utun                  400         32K         32K         81          81           3    32K     81  C
skywalk.mem.arena.system     376         32K         32K         87          87          19    32K     87  C
in6_multi_mship               24         16K         16K        682         682          87    16K    682  C
ip6_msource                   56          0K          0K          0           0           0    16K    292  C
in6_msource                   48          0K          0K          0           0           0    16K    341  C
skywalk.mem.arena.necp       368         32K         32K         89          89           6    32K     89  C
skywalk.mem.arena.nexus      448         32K         32K         73          73          34    32K     73  C
net.if_ipsec                 584         16K         16K         28          28           5    16K     28  C
skywalk.ch.info              384         32K         32K         85          85          18    32K     85  C
skywalk.ch                   272         16K         16K         60          60          18    16K     60  C
ipc.voucher.attr.control$     64         16K         16K        256         256           5    16K    256  C
bank_account                 104         48K         48K        472         472         133    16K    157  C
namecache                     96       1024K       1024K      10922       10922       10139    16K    170  C
bank_task                    152         48K         48K        323         323         310    16K    107  C
decmpfs_cnode                 72        192K        192K       2730        2730        1272    16K    227  C
igmp_ifinfo                  160         16K         16K        102         102          26    16K    102  C
skywalk.protons.token         40         16K         16K        409         409          15    16K    409  C
task_id_token                 40         16K         16K        409         409           0    16K    409  C
ipc.kmsgs                    256        256K        256K       1024        1024         506    16K     64  C
suid_cred                     24          0K          0K          0           0           0    16K    682  C
necp_session_policy          168         32K         32K        195         195         176    16K     97  C
pktsched_fq_if              3968         96K         96K         24          24          22    16K      4  C
necp_socket_policy           352         64K         64K        186         186         176    32K     93  C
percpu.64                     48         96K         96K       2048        2048        1560    96K   2048  C
bridge_rtnode                 64          0K          0K          0           0           0    16K    256  C
bridge_mac_nat_entry          56          0K          0K          0           0           0    16K    292  C
necp_ip_policy               216         32K         32K        151         151         104    32K    151  C
ipc.kobject.labels            16         32K         32K       2048        2048        1257    16K   1024  C
nd6_route_info                56          0K          0K          0           0           0    16K    292  C
cfil_db                       40          0K          0K          0           0           0    16K    409  C
cfil_entry_hash               96          0K          0K          0           0           0    16K    170  C
cfil_info                    960          0K          0K          0           0           0    16K     17  C
content_filter                48          0K          0K          0           0           0    16K    341  C
nd6_pfxrouter                 24         16K         16K        682         682           2    16K    682  C
nd6_prproxy_soltgt            72          0K          0K          0           0           0    16K    227  C
if_llreach                   120         16K         16K        136         136          14    16K    136  C
nd6_prproxy_solsrc            40          0K          0K          0           0           0    16K    409  C
nd6_prproxy_prelist           56          0K          0K          0           0           0    16K    292  C
nd6_dad                       96         16K         16K        170         170           0    16K    170  C
host_notify                   24         16K         16K        682         682          54    16K    682  C
cluster_read                  40         32K         32K        819         819         253    16K    409  C
llinfo_nd6                    80         16K         16K        204         204          24    16K    204  C
cluster_write                152        160K        176K       1077        1185         585    16K    107  C
thread.qos.override           24         16K         16K        682         682           0    16K    682  C
thread_call                  128        336K        336K       2688        2688        2610    16K    128  C
mld_ifinfo                   152         16K         16K        107         107          26    16K    107  C
necp.clientfd                240         16K         16K         68          68          67    16K     68  C
necp.arenainfo               104         16K         16K        157         157           6    16K    157  C
alarms                        80          0K          0K          0           0           0    16K    204  C
flow_divert_group            120         16K         16K        136         136           1    16K    136  C
flow_divert_pcb              216          0K          0K          0           0           0    32K    151  C
knote.zone                   128       1776K       1776K      14208       14208       14026    16K    128  C
workq.threadreq               32         16K         16K        512         512           0    16K    512  C
ipc.importance.inherit        72         16K         16K        227         227          13    16K    227  C
socket                       944        256K        448K        277         485         169    16K     17  C
kqueue.file.zone             128         16K         16K        128         128          49    16K    128  C
ipc.task.importance          128         48K         48K        384         384         314    16K    128  C
kqueue.workq.zone            488        160K        160K        335         335         301    32K     67  C
workq.wq                     400        128K        128K        327         327         301    32K     81  C
kqueue.workloop.zone         264       1696K       1696K       6578        6578        6488    16K     62  C
kerneventpcb                  56         16K         16K        292         292          16    16K    292  C
ifnet_fc_zone                 40         16K         16K        409         409           2    16K    409  C
ipc_eventlink                128          0K          0K          0           0           0    16K    128  C
aiowq                        176          0K          0K          0           0           0    16K     93  C
mount                       2600         48K         48K         18          18          13    16K      6  C
skywalk.mem.pp.htbl          512         16K         16K         32          32           8    16K     32  C
skywalk.mem.pp               248         16K         16K         66          66          13    16K     66  C
skywalk.na.kpipe             968         32K         32K         33          33           4    32K     33  C
coalitions                   376        224K        224K        610         610         604    32K     87  C
MAC.Labels                    32        224K        224K       7168        7168        7075    16K    512  C
skywalk.nx.upipe              32          0K          0K          0           0           0    16K    512  C
skywalk.na.upipe            1000          0K          0K          0           0           0    16K     16  C
ifnet_proto                   88         16K         16K        186         186          16    16K    186  C
mptsub                       120          0K          0K          0           0           0    16K    136  C
mptopt                        32          0K          0K          0           0           0    16K    512  C
mptauth                       32          0K          0K          0           0           0    16K    512  C
skywalk.na.netif.compat     1000         16K         16K         16          16           6    16K     16  C
NFSV3.srvdesc                352          0K          0K          0           0           0    32K     93  C
NFS.req                      376          0K          0K          0           0           0    32K     87  C
skywalk.nx.netif            1808         32K         32K         18          18          13    16K      9  C
unpzone                      200         32K         32K        163         163          52    32K    163  C
pipe.zone                    360         32K         32K         91          91           2    32K     91  C
kalloc.type0.16               16         64K         64K       4096        4096        3580    16K   1024  C
kalloc.type1.16               16         32K         32K       2048        2048        1400    16K   1024  C
kalloc.type0.32               32        288K        288K       9216        9216        5423    16K    512  C
kalloc.type1.32               32        128K        128K       4096        4096        3688    16K    512  C
kalloc.type2.32               32         64K         64K       2048        2048        2026    16K    512  C
kalloc.type0.48               48        496K        496K      10581       10581       10484    16K    341  C
kalloc.type1.48               48        176K        176K       3754        3754        3427    16K    341  C
kalloc.type2.48               48        304K        304K       6485        6485        6154    16K    341  C
kalloc.type3.48               48         96K         96K       2048        2048        1641    16K    341  C
kalloc.type4.48               48         32K         32K        682         682         295    16K    341  C
kalloc.type5.48               48         48K         48K       1024        1024         539    16K    341  C
kalloc.type6.48               48         16K         16K        341         341         192    16K    341  C
kalloc.type0.64               64         16K         16K        256         256         172    16K    256  C
kalloc.type1.64               64         16K         16K        256         256          43    16K    256  C
kalloc.type2.64               64        112K        112K       1792        1792        1386    16K    256  C
kalloc.type3.64               64         16K         16K        256         256          20    16K    256  C
kalloc.type4.64               64         16K         16K        256         256         100    16K    256  C
kalloc.type5.64               64         32K         32K        512         512         276    16K    256  C
