# zprint
                            elem         cur         max        cur         max         cur  alloc  alloc
zone name                   size        size        size      #elts       #elts       inuse   size  count
-------------------------------------------------------------------------------------------------------------
iokit.IOGuardPageMemoryD$    192         16K         16K         85          85           4    16K     85  C
iokit.IOMachPort              48         64K         64K       1365        1365        1136    16K    341  C
iokit.IOSKMemoryBuffer       280         96K        112K        351         409         246    16K     58  C
iokit.OSEntitlements         152         96K         96K        646         646         554    16K    107  C
sandbox.protobox.index        40         16K         16K        409         409         400    16K    409  C
iokit.IOSurface             1064        336K        416K        323         400         276    16K     15  C
clpc_normal_groups           624         32K         32K         52          52          31    16K     26  C
clpc_efficient_groups        288         96K         96K        341         341         253    32K    113  C
mcache                      1288         32K         32K         25          25          25    32K     25  C
mcache.bkt_1                  32         16K         16K        512         512          39    16K    512  C
mcache.bkt_3                  48         16K         16K        341         341          23    16K    341  C
mcache.bkt_7                  80         16K         16K        204         204          49    16K    204  C
mcache.bkt_15                144         16K         16K        113         113          12    16K    113  C
mcache.bkt_31                272         48K         48K        180         180         175    16K     60  C
mcache.bkt_47                400         32K         32K         81          81           6    32K     81  C
mcache.bkt_63                528          0K          0K          0           0           0    16K     31  C
mcache.bkt_95                784          0K          0K          0           0           0    32K     41  C
mcache.bkt_143              1168          0K          0K          0           0           0    16K     14  C
mcache.bkt_165              1344          0K          0K          0           0           0    16K     12  C
mcache.audit                 360          0K          0K          0           0           0    32K     91  C
mcache.mext_ref               48         16K         16K        341         341         319    16K    341  C
mcache.eventhdlr_generic      80         16K         16K        204         204          42    16K    204  C
mcache.eventhdlr_list        104         16K         16K        157         157          42    16K    157  C
ksyn_wait_queue              264         32K         32K        124         124          11    16K     62  C
ksyn_waitq_element            56         16K         16K        292         292           0    16K    292  C
ifnet                       2984         96K         96K         32          32          26    16K      5  C
ifnet_tcpstat                128         16K         16K        128         128          26    16K    128  C
ifnet_udpstat                 80         16K         16K        204         204          26    16K    204  C
ifmultiaddr                   96         16K         16K        170         170          85    16K    170  C
pfrulepl                    1040          0K          0K          0           0           0    32K     31  C
pfsrctrpl                    152          0K          0K          0           0           0    16K    107  C
pfstatepl                    320          0K          0K          0           0           0    16K     51  C
pfstatekeypl                 176          0K          0K          0           0           0    16K     93  C
pfappstatepl                  32          0K          0K          0           0           0    16K    512  C
pfpooladdrpl                  88          0K          0K          0           0           0    16K    186  C
pfrktable                   1288          0K          0K          0           0           0    32K     25  C
pfrkentry                    216          0K          0K          0           0           0    32K    151  C
pfrkentry2                   216          0K          0K          0           0           0    32K    151  C
pfiaddrpl                    120          0K          0K          0           0           0    16K    136  C
pfosfpen                     112          0K          0K          0           0           0    16K    146  C
pfosfp                        40          0K          0K          0           0           0    16K    409  C
pffrent                       48          0K          0K          0           0           0    16K    341  C
pffrag                       112          0K          0K          0           0           0    16K    146  C
pffrcache                    112          0K          0K          0           0           0    16K    146  C
pffrcent                      24          0K          0K          0           0           0    16K    682  C
pfstscr                       40          0K          0K          0           0           0    16K    409  C
ifclassq                     320         16K         16K         51          51          32    16K     51  C
mcache.fq.flowq              152         32K         48K        215         323         134    16K    107  C
mcache.flowadv                48          0K          0K          0           0           0    16K    341  C
pktap                        360          0K          0K          0           0           0    32K     91  C
socache.zone                2696        112K        448K         42         170          22    16K      6  C
in_multi                     216         32K         32K        151         151           7    32K    151  C
in_ifaddr                    240         16K         16K         68          68           4    16K     68  C
ip_moptions                   72         16K         16K        227         227           1    16K    227  C
udpcb                        784        128K        256K        167         334          13    32K     41  C
tcpcb                       1760         32K         32K         18          18          11    16K      9  C
sack_hole.zone                32         16K         16K        512         512           0    16K    512  C
tcp_reass_zone                40         16K         16K        409         409           0    16K    409  C
tcp_bwmeas_zone               40         16K         16K        409         409          33    16K    409  C
tcp_cc_zone                   32         16K         16K        512         512          33    16K    512  C
tcp_rxt_seg_zone              24         16K         16K        682         682           0    16K    682  C
ripzone                      784         32K         32K         41          41           1    32K     41  C
in6_multi                    224         16K         16K         73          73          58    16K     73  C
in6_ifaddr                   368         32K         32K         89          89          19    32K     89  C
ip6_moptions                  64         16K         16K        256         256           1    16K    256  C
nd6_prefix                   240         16K         16K         68          68          16    16K     68  C
nd6_defrouter                144         16K         16K        113         113           7    16K    113  C
mptc                         968          0K          0K          0           0           0    32K     33  C
rtentry                      424         96K         96K        231         231         136    32K     77  C
iptap                         40          0K          0K          0           0           0    16K    409  C
skywalk.skm                 1280        224K        256K        179         204         134    32K     25  C
skywalk.reg.sg                88         48K         48K        558         558         470    16K    186  C
skywalk.reg.bufctl            48        640K        752K      13653       16042       11592    16K    341  C
skywalk.reg.slab              72         32K         32K        455         455         301    16K    227  C
skywalk.reg.mg.14            128         32K         32K        256         256         188    16K    128  C
skywalk.reg.mg.30            256         16K         16K         64          64          21    16K     64  C
skywalk.reg.mg.46            384         32K         32K         85          85          14    32K     85  C
skywalk.reg.mg.62            512         64K         64K        128         128         120    16K     32  C
skywalk.reg.mg.94            768         32K         32K         42          42          23    16K     21  C
skywalk.reg.mg.126          1024          0K          0K          0           0           0    16K     16  C
skywalk.reg.mg.142          1152          0K          0K          0           0           0    16K     14  C
skywalk.reg.mg.158          1280          0K          0K          0           0           0    32K     25  C
skywalk.reg.pkt.opt           32        112K        112K       3584        3584        3224    16K    512  C
skywalk.reg.pkt.flow         160        480K        480K       3072        3072        2912    16K    102  C
skywalk.reg.pkt.compl         32        112K        112K       3584        3584        3222    16K    512  C
skywalk.reg.flow.owner       136         16K         16K        120         120          18    16K    120  C
skywalk.reg.flow.entry       560         32K         32K         58          58          35    16K     29  C
skywalk.reg.flow.adv.bma$     64         16K         16K        256         256          18    16K    256  C
skywalk.reg.flow.route       312         16K         16K         52          52          34    16K     52  C
skywalk.reg.flow.stats       320         16K         16K         51          51          35    16K     51  C
skywalk.reg.netns.ns_res$     48         32K         32K        682         682         209    16K    341  C
skywalk.reg.netns.ns_tok$     64         32K         32K        512         512         204    16K    256  C
skywalk.reg.netns.ns_flo$    128         16K         16K        128         128          29    16K    128  C
mcache.necp.flow             152         16K         16K        107         107          32    16K    107  C
mcache.necp.flowregistra$    208         16K         16K         78          78          32    16K     78  C
fs-event-buf                  80         96K         96K       1228        1228           0    16K    204 X
bridge                       600          0K          0K          0           0           0    16K     27  C
feth                       19184          0K          0K          0           0           0    32K      1  C
6lowpan                       96          0K          0K          0           0           0    16K    170  C
APFS_4K_OBJS                4096      25488K      40352K       6372       10088        4067    16K      4  C
APFS_8K_OBJS                8192          0K          0K          0           0           0    16K      2  C
APFS_INODES                  440       4272K       4304K       9942       10016        9457    16K     37  C
APFS_TREE_LOOKUP_ZONE       4640        320K        320K         70          70           0    32K      7  C
APFS_BTREE_NODES             272       2640K       2688K       9938       10119        4045    16K     60  C
tmpfs_node                   272          0K          0K          0           0           0    16K     60  C
tmpfs_dirent                  88          0K          0K          0           0           0    16K    186  C
tmpfs_extent                  48          0K          0K          0           0           0    16K    341  C
HFS.node                     336        160K        192K        487         585         404    32K     97  C
HFS.fork                     128         48K         64K        384         512         256    16K    128  C
HFS.dirhint                   56         16K         16K        292         292         146    16K    292  C
compressor_segment           280         48K         48K        175         175         146    16K     58  C
-------------------------------------------------------------------------------------------------------------
                                                               kmod          vm        peak               cur
wired memory                                                     id         tag        size  waste       size
-------------------------------------------------------------------------------------------------------------
VM_KERN_COUNT_BOOT_STOLEN                                                   266                       251632K
VM_KERN_COUNT_RESERVED                                                      257                        53792K
VM_KERN_COUNT_STOLEN                                                        260                         1344K
VM_KERN_MEMORY_COMPRESSOR                                                    14                          192K
VM_KERN_MEMORY_DIAG                                                          18                          208K
VM_KERN_MEMORY_FILE                                                          20                         2624K
VM_KERN_MEMORY_IPC                                                            7                           64K
VM_KERN_MEMORY_KALLOC                                                        13                          176K
VM_KERN_MEMORY_LIBKERN                                                        4                          560K
VM_KERN_MEMORY_LOG                                                           19                          384K
VM_KERN_MEMORY_LTABLE                                                        27                           32K
VM_KERN_MEMORY_MBUF                                                          21                         3088K
VM_KERN_MEMORY_OSFMK                                                          1                          320K
VM_KERN_MEMORY_OSKEXT                                                         5                           32K
VM_KERN_MEMORY_PHANTOM_CACHE                                                 16                          128K
VM_KERN_MEMORY_PTE                                                           11                        74496K
VM_KERN_MEMORY_SECURITY                                                      23                         8416K
VM_KERN_MEMORY_SKYWALK                                                       26                         1536K
VM_KERN_MEMORY_STACK                                                          8                         1520K
VM_KERN_MEMORY_TRIAGE                                                        32                          832K
VM_KERN_MEMORY_WAITQ                                                         17                           48K
com.apple.AGXG12P                                               104          47                        11552K
com.apple.AppleUserHIDDrivers                                               138                           48K
com.apple.driver.AppleAOPAudio                                  182         117                         1040K
com.apple.driver.AppleAVD                                       102          55                         5760K
com.apple.driver.AppleAVE2                                       99          97                         1184K
com.apple.driver.AppleBCMWLANBusInterfacePCIe                   124         120                          128K
com.apple.driver.AppleBCMWLANCore                               123         164                           96K
com.apple.driver.AppleCS42L77Audio                              167         134                          576K
com.apple.driver.AppleConvergedIPCICEBBControl                  185         104                           64K
com.apple.driver.AppleConvergedIPCOLYBTControl                  175         170                          368K
com.apple.driver.AppleConvergedPCI                              174         168                           80K
com.apple.driver.AppleDiskImages2                                67         179                           16K
com.apple.driver.AppleEmbeddedAudio                             146         116                           32K
com.apple.driver.AppleEmbeddedPCIE.DMA.baseband-pcie                        162                         2240K
com.apple.driver.AppleEmbeddedPCIE.DMA.bluetooth-pcie                       169                          320K
com.apple.driver.AppleEmbeddedPCIE.DMA.wlan                                 121                         3456K
com.apple.driver.AppleH10CameraInterface.Endpoint                           155                          128K
com.apple.driver.AppleH10CameraInterface.NonPersistent                      119                       122608K
com.apple.driver.AppleH10CameraInterface.PearlCamBuffer                     166                        25520K
com.apple.driver.AppleH10CameraInterface.Persistent                         115                        12800K
com.apple.driver.AppleH11ANEInterface.FW                                    101                          256K
com.apple.driver.AppleH11ANEInterface.INHP                                   95                         1392K
com.apple.driver.AppleH11ANEInterface.PROC                                  165                           16K
com.apple.driver.AppleHIDTransport                              169         149                           16K
com.apple.driver.AppleHIDTransportSPI                           170         143                           96K
com.apple.driver.AppleHapticsSupportLEAP                        108         132                           48K
com.apple.driver.AppleInterruptController                        77          38                           48K
com.apple.driver.AppleMobileDispH12P                            127         100                          144K
com.apple.driver.AppleMobileFileIntegrity                        18         141                           32K
com.apple.driver.AppleMultitouchDriver                          207         150                           32K
com.apple.driver.ApplePMGR                                       78          46                           48K
com.apple.driver.AppleS8000AES                                  110          59                           16K
com.apple.driver.AppleSEPCredentialManager                       63          36                           16K
com.apple.driver.AppleSEPKeyStore                                62          45                           16K
com.apple.driver.AppleSPU                                       150          86                          320K
com.apple.driver.AppleSPURose                                   179         105                          128K
com.apple.driver.AppleT8030PMGR                                  79          39                          224K
com.apple.driver.AppleT8030PPM                                  134          68                           48K
com.apple.driver.AppleUSBEthernetDevice                         199         145                          256K
com.apple.driver.AppleUSBMike                                   198         146                          112K
com.apple.driver.AppleUSBXDCI                                   118         128                         2256K
com.apple.driver.DiskImages.UDIFDiskImage                       211         176                         3840K
com.apple.driver.FairPlayIOKit                                   59          44                           80K
com.apple.driver.IOACIPCFamily                                  184         161                          320K
com.apple.driver.IODARTFamily                                    50          72                          432K
com.apple.driver.IOSlaveProcessor                                28          84                         2640K
com.apple.driver.RTBuddy                                         30          76                          512K
com.apple.driver.corecapture                                     68          61                          848K
com.apple.driver.usb.networking                                 203         151                          192K
com.apple.filesystems.apfs                                      161         123                           64K
com.apple.iokit.AppleARMIISAudio                                145          92                         2144K
com.apple.iokit.CoreAnalyticsFamily                              26         163                           32K
com.apple.iokit.IO80211Family                                   122          65                         6560K
com.apple.iokit.IOAccessoryManager                               34          75                          288K
com.apple.iokit.IOAudio2Family                                   55          93                          176K
com.apple.iokit.IOGPUFamily                                     103         142                           48K
com.apple.iokit.IOHIDFamily                                      32          67                         2240K
com.apple.iokit.IOMobileGraphicsFamily                          126          62                        10560K
com.apple.iokit.IONVMeFamily                                    144          81                          352K
com.apple.iokit.IOReportFamily                                   15         152                          272K
com.apple.iokit.IOSkywalkFamily                                  24         110                          112K
com.apple.iokit.IOSurface                                        49          34                        15760K
com.apple.iokit.IOUSBDeviceFamily                               117         129                          128K
com.apple.iokit.IOUSBHostFamily                                  39          79                          192K
site 0xfffffff009d4e220                                                     137                           80K
site 0xfffffff009d5cc68                                                      88                          256K
site 0xfffffff009d5cdd0                                                      89                          512K
site 0xfffffff009d65f38                                                      98                          128K
site 0xfffffff009d48008                                                     167                          112K
zones                                                                                                 125264K
total                                                                                      751.08M of 751.08M
-------------------------------------------------------------------------------------------------------------
                                                                        largest        peak               cur
maps                                                           free        free        size              size
-------------------------------------------------------------------------------------------------------------
VM_KERN_COUNT_MANAGED                                                                                3876208K
VM_KERN_COUNT_MAP_KALLOC_LARGE                               93440K      93216K                        96416K
VM_KERN_COUNT_MAP_KALLOC_LARGE_DATA                          94832K      94528K                        96416K
VM_KERN_COUNT_MAP_KERNEL                                  15673151K   15665792K                    117440511K
VM_KERN_COUNT_MAP_KERNEL_DATA                             20781328K   20780192K                     20825952K
VM_KERN_COUNT_MAP_ZONE                                    25044608K   10585872K                     25165632K
VM_KERN_COUNT_WIRED                                                                                   769104K
VM_KERN_COUNT_WIRED_BOOT                                                                              272864K
VM_KERN_COUNT_WIRED_MANAGED                                                                           462336K
VM_KERN_COUNT_WIRED_STATIC_KERNELCACHE                                                                 49552K
com.apple.driver.AppleA7IOP.DMA.ans                                                                      128K
com.apple.driver.AppleA7IOP.DMA.aop                                                                     1968K
com.apple.driver.AppleA7IOP.DMA.gfx-asc                                                                   16K
com.apple.driver.AppleA7IOP.DMA.pmp                                                                     1632K
com.apple.driver.AppleA7IOP.DMA.sep                                                                      384K
com.apple.driver.AppleA7IOP.DMA.sio                                                                     2592K
com.apple.driver.AppleAVD.DMA.avd                                                                       5760K
com.apple.driver.AppleAVE2.DMA.ave                                                                      1888K
com.apple.driver.AppleEmbeddedPCIE.DMA.baseband-pcie                                                    2432K
com.apple.driver.AppleEmbeddedPCIE.DMA.bluetooth-pcie                                                    764K
com.apple.driver.AppleEmbeddedPCIE.DMA.wlan                                                             6208K
com.apple.driver.AppleH10CameraInterface.DMA.isp                                                      135520K
com.apple.driver.AppleH10CameraInterface.NonPersistent                                                122384K
com.apple.driver.AppleH10CameraInterface.Persistent                                                    12736K
com.apple.driver.AppleH11ANEInterface.DMA.ane                                                           9776K
com.apple.driver.AppleMobileDispH12P.DMA.disp0                                                           160K
com.apple.driver.AppleS8000AES.DMA.aes                                                                     4K
com.apple.iokit.IOMobileGraphicsFamily.DMA.disp0                                                       21488K
com.apple.iokit.IOUSBHostFamily.DMA.usb-drd                                                             2640K
-------------------------------------------------------------------------------------------------------------
                                                                                                          cur
zone views                                                                                              inuse
-------------------------------------------------------------------------------------------------------------
data.kalloc.16[raw]                                                                                      399K
data.kalloc.16[site.lck_attr_t]                                                                            0K
data.kalloc.16[site.lck_grp_attr_t]                                                                        0K
data.kalloc.16[site.lck_mtx_t]                                                                           142K
data.kalloc.16[site.lck_rw_t]                                                                             16K
data.kalloc.16[site.lck_spin_t]                                                                           31K
data.kalloc.32[raw]                                                                                      479K
data.kalloc.48[raw]                                                                                      370K
data.kalloc.64[raw]                                                                                      245K
data.kalloc.96[raw]                                                                                      333K
data.kalloc.128[raw]                                                                                     274K
data.kalloc.160[raw]                                                                                      58K
data.kalloc.192[raw]                                                                                      23K
data.kalloc.256[raw]                                                                                     103K
data.kalloc.368[raw]                                                                                      98K
data.kalloc.512[raw]                                                                                     152K
data.kalloc.768[raw]                                                                                     182K
data.kalloc.1024[raw]                                                                                    129K
data.kalloc.1024[vfs.namei]                                                                               83K
data.kalloc.1152[raw]                                                                                     13K
data.kalloc.1664[raw]                                                                                    141K
data.kalloc.2048[raw]                                                                                    138K
data.kalloc.4096[raw]                                                                                    464K
data.kalloc.6144[raw]                                                                                     42K
data.kalloc.8192[raw]                                                                                     80K
data.kalloc.16384[raw]                                                                                   320K
data.kalloc.32768[raw]                                                                                   192K
data.kalloc[vfs_bio]                                                                                      12K
default.kalloc.16[raw]                                                                                   648K
default.kalloc.32[raw]                                                                                   502K
default.kalloc.48[raw]                                                                                   102K
default.kalloc.64[raw]                                                                                   360K
default.kalloc.80[raw]                                                                                   114K
default.kalloc.96[raw]                                                                                   823K
default.kalloc.128[raw]                                                                                  535K
default.kalloc.160[raw]                                                                                  658K
default.kalloc.192[raw]                                                                                  125K
default.kalloc.224[raw]                                                                                  111K
default.kalloc.256[raw]                                                                                  438K
default.kalloc.288[raw]                                                                                   37K
default.kalloc.368[raw]                                                                                  171K
default.kalloc.400[raw]                                                                                   40K
default.kalloc.512[raw]                                                                                 1661K
default.kalloc.576[raw]                                                                                   34K
default.kalloc.768[raw]                                                                                  106K
default.kalloc.1024[raw]                                                                                 370K
default.kalloc.1152[raw]                                                                                  67K
default.kalloc.1280[raw]                                                                                  55K
default.kalloc.1664[raw]                                                                                  74K
default.kalloc.2048[raw]                                                                                 738K
default.kalloc.4096[raw]                                                                                 752K
default.kalloc.6144[raw]                                                                                 198K
default.kalloc.8192[raw]                                                                                 504K
default.kalloc.16384[raw]                                                                               3088K
default.kalloc.32768[raw]                                                                                800K
default.kalloc[kern_os_malloc]                                                                           893K
default.kalloc[osmalloc]                                                                                 192K
kalloc.type0.16[raw]                                                                                      55K
kalloc.type0.16[site.struct vfs_context]                                                                   0K
kalloc.type0.32[raw]                                                                                     167K
kalloc.type0.32[site.struct waitq_link]                                                                    2K
kalloc.type1.32[raw]                                                                                     115K
kalloc.type2.192[raw]                                                                                      2K
kalloc.type2.192[site.lck_grp_t]                                                                          28K
kalloc.type7.96[raw]                                                                                       0K
kalloc.type7.96[site.struct lockf]                                                                        37K
kalloc.type11.128[raw]                                                                                    11K
percpu.64[per_cpu_counters]                                                                               73K
# uname -a
Darwin iPhone-11 21.1.0 Darwin Kernel Version 21.1.0: Tue Sep 21 12:52:30 PDT 2021; root:xnu-8019.40.86~21/RELEASE_ARM64_T8030 iPhone12,1 Toybox
# zprint
zprint: mach_memory_info: unknown error code (entitlement required or rate-limit exceeded)
#
